address_full,country_iso2,lat,lon,geocode_confidence
"4022 Transit Rd, Mason, California, 28289, US",US,31.28241,57.70886,0.73
"8938 Foundry Rd, Kalten, Bavaria, 38893, DE",DE,5.42881,-49.88851,0.83
"5645 Vector Rd, Avonford, Scotland, 15695, GB",GB,30.67586,19.78158,0.78
"4751 Harbor Rd, Porto Claro, Sao Paulo, 40512, BR",BR,42.98353,-22.36592,0.74
"2687 Canal Rd, Hinode, Kansai, 59735, JP",JP,-10.7047,124.85562,0.85
"3493 Canal Rd, New Umber, Gauteng, 61856, ZA",ZA,44.6215,48.57,0.82
"1499 Axis Rd, Redgum, New South Wales, 24371, AU",AU,-21.24428,-81.80486,0.69
"8807 Vector Rd, Valle Luna, Puebla, 94012, MX",MX,-4.3842,-45.755,0.71
"6136 Summit Rd, Mason, Illinois, 80697, US",US,50.81498,124.0572,0.61
"7972 Harbor Rd, Rheinhafen, Saxony, 79822, DE",DE,33.9251,-90.3343,0.62
"8433 Transit Rd, Porto Claro, Sao Paulo, 46500, BR",BR,25.208,-67.1561,0.74
"6219 Axis Rd, Redgum, Victoria, 61173, AU",AU,-11.13172,86.69906,0.61
"946 Axis Rd, Piedra Alta, Puebla, 86569, MX",MX,7.91097,123.23453,0.61
"1353 Foundry Rd, Los Verdes, Illinois, 96163, US",US,17.53051,16.15133,0.74
"9234 Harbor Rd, Nordstadt, Bavaria, 19602, DE",DE,13.3871,11.5889,0.7
"1707 Summit Rd, Carden, Wales, 44664, GB",GB,-24.61142,-96.10029,0.83
"6949 Vector Rd, Nova Leste, Rio Grande do Sul, 15778, BR",BR,-34.68089,83.20219,0.85
"6059 Summit Rd, Aokawa, Chubu, 66333, JP",JP,-23.5299,-41.77025,0.85
"3888 Summit Rd, Cape Meridian, KwaZulu-Natal, 33206, ZA",ZA,44.32746,-118.30768,0.83
"5738 Vector Rd, Bluehaven, New South Wales, 39831, AU",AU,-14.93688,53.20896,0.68
"636 Harbor Rd, Valle Luna, Nuevo Leon, 88193, MX",MX,4.11074,71.70717,0.85
"5977 Foundry Rd, Northgate, California, 19171, US",US,50.3987,123.60813,0.6
"3153 Foundry Rd, Kalten, Hesse, 97153, DE",DE,49.63273,57.87585,0.68
"7628 Canal Rd, Dunmere, Wales, 67954, GB",GB,25.80645,13.01698,0.63
"3272 Summit Rd, Porto Claro, Bahia, 13201, BR",BR,-30.84077,140.66273,0.74
"1756 Foundry Rd, Midori, Kansai, 38683, JP",JP,-19.1702,133.65083,0.8
"8986 Canal Rd, Zulu Point, KwaZulu-Natal, 30861, ZA",ZA,3.1621,31.929,0.72
"4461 Delta Rd, Redgum, Queensland, 51904, AU",AU,45.3724,-103.244,0.61
"3398 Foundry Rd, Piedra Alta, Nuevo Leon, 61049, MX",MX,46.43546,32.70144,0.81
"8009 Transit Rd, Mason, Illinois, 45774, US",US,4.22524,-117.1633,0.66
"1385 Foundry Rd, Kalten, Saxony, 27786, DE",DE,-75.9332,43.0166,0.85
"7629 Vector Rd, Sertao Azul, Sao Paulo, 58351, BR",BR,-19.89898,38.95682,0.76
"1679 Vector Rd, Hinode, Kansai, 99687, JP",JP,19.03705,-92.31513,0.65
